datetime,city,state,country,shape,duration (seconds),duration (hours/min),comments,date posted,latitude,longitude
1997-11-15 19:00:00,northampton (uk/england),,gb,unknown,5,5 seconds,WINTER  97/98 BRIGHT LIGHT TRAVELLING AT HIGH SPEED IN DIFFERENT DIRECTIONS TOWARDS THE EAST LASTED ABOUT 5 SECONDS.,9/2/2005,52.25,-0.883333
1998-11-15 13:00:00,london (eastham) (uk/england),,gb,rectangle,240,4 minutes,black rectangular monolith travelling slowly&#44 over london  (eastham) observed for about 4 minutes,1/11/2002,51.514125,-0.093689
1999-11-15 02:00:00,elgin (uk/scotland),,gb,light,30,20-30 seconds,Two lights&#44 both red floating about 50 feet above the ground. A clear night. Visibility excellent. Stars between the lights were obscur,2/18/2001,57.65,-3.333333
2000-11-15 23:48:00,newmarket (uk/england),,gb,diamond,1200,20 mins,Two craft&#44One small diamond&#44one large triangle moving silently and close together.,8/20/2001,53.3,-3.3833330000000004
2001-11-15 01:15:00,london (uk/england),,gb,triangle,480,5-8 minutes,Flying Pyramid over London....,12/5/2001,51.514125,-0.093689
2001-11-15 22:00:00,bristol (uk/england),,gb,rectangle,180,3 minutes,A slow moving black rectangular object with wavy edges.,11/20/2001,51.45,-2.583333
2001-11-15 22:00:00,darlington (uk/england),,gb,light,10,10 seconds,Myself and my sister saw a saucer shaped object in Norththern England,10/7/2003,50.45,-3.7166669999999997
2002-11-15 00:02:00,walsall (uk/england),,gb,light,2,1-2s,Hovering orange light that quickly accelerates and disappears,11/16/2002,52.6,-2.0
2002-11-15 01:03:00,coventry (uk/england),,gb,light,1,00.01,as i was watching the stars in the sky as i was walking home for the night i saw something shoot across the sky.... of which i belived,11/16/2002,52.416667,-1.55
2003-11-15 21:00:00,bournemouth (uk/england),,gb,egg,90,30 seconds-1 min,GLOWING EGG SHAPED CRAFT FLIES OVER RESIDENTIAL AREA. BOURNEMOUTH&#44 UK,7/5/2005,50.716667,-1.8833330000000001
2004-11-15 22:00:00,london (uk/england),,gb,circle,180,3 mins,Me and a friend saw a sphere with a blue light hovering&#44 a jet then followed it and chased it away. I heard modem connection sounds,9/2/2005,51.514125,-0.093689
2005-11-15 17:30:00,swansea (uk/wales),,gb,sphere,600,10 minutes,circle hovering object,12/16/2005,51.633333,-3.9666669999999997
2003-11-16 18:00:00,wakefield (uk/england),,gb,light,600,10 mins,Bright red light moving slowly with loud humming noise,12/9/2003,53.7,-1.483333
2007-11-16 19:35:00,skelmersdale (uk/england),,gb,light,180,3 minutes,4 orange balls of light viewed from ashurst skelmersdale,11/28/2007,53.533333,-2.8
2002-11-17 19:30:00,birmingham (uk/england),,gb,unknown,10,10 sec max,I arrived from work quite late parked my van outside my home and as always on a clear cloudless night I look up at the stars. I was loo,2/8/2005,52.466667,-1.916667
2005-11-17 17:25:00,bicester (uk/england),,gb,unknown,60,1 minute,Light that faded into the cloudless night sky,12/16/2005,51.9,-1.15
2006-11-17 18:25:00,trowbridge (uk/england),wv,gb,circle,600,10minutes,U.F.O.sighting in Wiltshire,12/7/2006,51.318889,-2.208611
2012-11-17 21:00:00,cumnock (uk/scotland),,gb,circle,1800,30 minutes,Weird lights going from west to east in Ayrshire scotland,11/19/2012,55.45,-4.266667
